RA,DEC,U_mag,G_mag,R_mag,I_mag,Z_mag,J_mag,H_mag,K_mag,W1mag,W2mag,SPEC_Z,SPEC_CLASS
17.5070858,0.083886176,22.832495,22.254108,21.459074,20.741518,20.352367,19.882223,19.309322,19.016285,18.664822,18.696014,0.77174103,GALAXY
16.35656929,0.188873187,23.168158,22.833471,21.453838,19.782694,19.623447,19.348618,19.004725,18.8384,17.806923,18.036625,0.891274,GALAXY
15.13471127,0.231578827,22.645182,22.543777,21.452223,20.741053,20.434486,,,20.136608,19.809853,19.92729,0.5888052,GALAXY
334.1610413,0.716389954,22.103119,21.94178,21.449669,20.954006,20.519705,19.969696,20.073263,19.909254,19.715776,19.96813,0.975,GALAXY
26.87750244,-0.126165405,22.58097,22.150818,21.447224,20.724325,20.211435,20.144007,19.98812,19.738375,19.20374,19.262985,0.71525437,GALAXY
15.09942245,-0.395507783,24.14525,22.479284,21.445738,20.497526,19.962597,19.48876,18.92247,18.514067,18.029177,18.096897,0.755231,GALAXY
353.3696899,0.149524838,21.67576,21.80893,21.439764,21.193457,21.834505,20.678087,,,20.085781,19.646788,0.685043,GALAXY
334.5242004,0.15373978,22.014402,21.572884,21.431509,21.041689,21.031088,20.698643,20.745731,20.113861,19.964792,19.402145,0.6121,GALAXY
20.91448021,-0.131725177,23.732954,22.335438,21.422174,20.71326,20.320505,19.789713,19.543915,19.06557,18.820063,18.997583,0.66249686,GALAXY
16.70029449,-0.524086654,23.986734,22.629261,21.417587,20.471455,19.997314,19.728817,19.294504,19.190445,18.790197,19.06587,0.6425335,GALAXY
19.65211487,0.268956661,23.954369,22.967016,21.41578,20.543003,20.187637,19.686089,19.363045,18.889372,19.234608,19.569092,0.5139792,GALAXY
333.7837219,0.594007432,22.3667,21.7963,21.4123,21.3659,20.9088,,,,,,1.1297,GALAXY
27.0032959,-0.090697065,23.37847,22.605515,21.404335,20.937593,20.723778,20.427755,20.44805,19.866684,20.131346,20.089808,0.41322443,GALAXY
27.08684158,-0.359950632,22.610262,22.049685,21.38163,21.032751,20.706001,20.646362,20.512545,19.698029,20.042427,19.676483,0.59256476,GALAXY
16.60228729,-0.373112917,22.749945,21.82169,21.378267,21.11366,21.171396,20.952599,,,,,0.114052,GALAXY
353.4153442,-0.563448012,22.555046,22.109215,21.376143,20.552866,19.878187,19.479395,19.00629,18.660923,17.99624,18.231253,0.83,GALAXY
19.28179169,0.457068145,22.637566,22.203337,21.36778,20.802546,20.663918,20.227045,19.88019,19.432922,19.732796,19.983437,0.54873365,GALAXY
322.604521,0.195980983,23.00653,22.203413,21.364363,20.644915,20.337658,19.866095,19.78224,19.168802,,,0.723,GALAXY
15.45355701,-0.238619328,23.552858,22.578203,21.360685,20.42447,19.946587,19.333792,19.183783,18.781597,18.080078,18.03823,0.823756,GALAXY
27.05053139,-0.343522668,26.138725,22.63827,21.351381,20.445913,20.16946,19.587,19.255436,19.163116,19.10649,19.177092,0.55808514,GALAXY
18.9185009,0.104964472,23.425026,22.332022,21.349161,20.818155,20.37073,21.019318,20.626114,20.95926,19.890415,19.735516,0.6582217,GALAXY
26.3421154,0.100642718,24.970516,22.744453,21.342548,20.495243,20.082647,19.609653,19.413713,19.068735,19.22218,19.586117,0.59361476,GALAXY
15.56844044,0.084579468,22.940987,22.260544,21.340147,20.91973,20.510607,20.001612,,19.657125,19.212566,18.681705,0.349494,GALAXY
24.39632034,0.099830739,22.592424,22.067734,21.338322,20.85523,20.503433,20.244726,19.701992,19.41112,19.77616,19.74665,0.487334,GALAXY
25.05327988,-0.349541605,24.999018,22.68797,21.302309,20.342857,19.897802,19.327553,18.94142,18.879074,18.696121,19.119524,0.613031,GALAXY
14.84889603,0.316657484,22.69543,22.088919,21.29945,21.011375,20.822824,20.679628,20.861456,,19.738964,19.78764,0.539691,GALAXY
27.3134613,0.238886237,21.743969,21.463968,21.281874,21.11191,20.372437,20.22455,20.442387,20.3197,19.497398,19.651201,0.8345959,GALAXY
26.76146317,-0.11107181,22.48943,22.055588,21.264603,20.496607,19.95082,19.661625,19.273603,18.79541,18.581387,18.86398,0.61412424,GALAXY
25.53643799,-0.037757255,22.241247,21.833254,21.257105,20.882935,20.53867,20.441584,20.251642,19.563847,18.911032,18.816723,0.726611,GALAXY
37.79812241,0.675450504,22.50125,21.725218,21.24657,20.590054,20.190065,19.433065,19.224583,18.994535,,,0.8713358,GALAXY
310.1809733,-0.76352214,22.522514,22.12219,21.241428,20.330204,20.340492,20.223492,19.508099,19.013592,,,0.607967,GALAXY
333.9157104,0.636847019,22.472757,21.96891,21.23842,20.714064,20.30973,20.195715,19.987606,19.914257,19.69196,20.086525,0.542,GALAXY
2.653477236,0.666190913,23.29146,22.389008,21.227602,20.598759,20.3342,19.940434,19.393154,19.237446,19.39883,19.238205,0.422,GALAXY
16.07839203,-0.424120784,23.328007,22.074116,21.21841,20.787418,20.510406,20.18573,20.272678,19.428577,20.084778,20.094429,0.279036,GALAXY
