counter,RA,DEC,G_MAG_AB,R_MAG_AB,Y_MAG_AB,J_MAG_AB,H_MAG_AB,K_MAG_AB,ch1_mag,ch2_mag,gj,rj,jk,rk,petro_g,petro_r,Fpk,Hpk,redshift,specObjID,class
142,22:38:54.51,-00:46:48.6,23.318,21.6493,19.843952,19.63393,19.233133,18.777521,18.080412,18.011179,3.6840703,2.0153692,0.85640895,2.871778,5.6665460357666015,5.508946060180664,-999.0,-999.0,-999.0,NIRES080318,weak-det
98,02:19:24.01,+00:09:31.6,23.3084,21.7237,20.323467,20.20349,19.15548,18.886705,18.14731,18.209833,3.1049097,1.52021,1.3167838,2.8369937,7.166491355895997,7.216149971008301,-999.0,-999.0,-999.0,0,none
154,22:49:25.58,+00:40:31.8,23.8438,21.9546,20.092863,19.999817,19.480791,18.897232,18.730165,18.808495,3.8439825,1.9547822,1.1025847,3.0573668,4.407313877105713,5.161859939575195,-999.0,-999.0,-999.0,0,none
137,22:31:40.36,+00:26:24.3,22.9179,21.5276,19.894869,19.536808,19.242264,18.790472,17.990324,17.861074,3.3810918,1.9907911,0.74633586,2.7371268,3.2513182525634767,3.5900412025451662,-999.0,-999.0,-999.0,0,none
87,02:07:09.82,+01:00:00.0,22.8359,21.5775,20.149899,20.065105,19.6877,18.785833,17.80008,17.530842,2.7707937,1.5123937,1.279272,2.7916656,5.736851806640625,5.673602897644043,-999.0,-999.0,0.614,NIRES092318,QSO
173,23:07:07.46,-00:22:37.4,22.9015,21.4061,20.266409,19.835749,19.308086,18.801311,19.03053,18.933851,3.0657518,1.5703504,1.0344371,2.6047873,4.909124507904053,5.471310092926026,-999.0,-999.0,-999.0,0,none
101,02:20:52.74,+00:12:32.2,22.6398,21.2897,19.739939,19.590958,19.04162,18.388466,17.174377,16.862614,3.0488412,1.6987417,1.2024916,2.9012332,7.695745422363282,7.908753433227539,-999.0,-999.0,-999.0,0,none
134,22:27:59.75,+00:37:08.4,22.3075,21.0265,19.658749,19.264458,18.782236,18.350256,18.041807,18.13056,3.043043,1.7620428,0.9142016,2.6762443,5.031179969787598,4.441029407501221,-999.0,-999.0,-999.0,0,none
143,22:40:30.68,-00:54:20.0,23.6087,21.538,20.165825,19.724396,19.097414,18.710655,18.534485,18.585701,3.8843038,1.8136041,1.0137404,2.8273444,5.610092273712159,7.3389883117675785,-999.0,-999.0,0,NIRES092218,star
68,01:56:24.81,-00:14:58.7,22.6757,22.2178,20.456907,19.703093,18.97996,18.6483,17.489199,16.820826,2.9726064,2.5147073,1.0547923,3.5694995,3.8365034065246584,3.7217665214538576,-999.0,-999.0,1.528,NIRES080418_0922,QSO
119,22:19:31.16,+00:26:29.8,22.5225,20.9277,19.607481,19.205976,18.78914,18.257269,18.544968,18.419746,3.3165224,1.7217233,0.94870746,2.6704307,4.98204440689087,5.1937461090087895,-999.0,-999.0,999.0,TSPEC083018,??
54,00:53:12.69,+00:00:28.5,21.026,20.8156,19.17028,18.985386,18.43304,18.093754,18.002626,18.075323,2.040613,1.8302133,0.89163196,2.7218451,6.851814079284669,6.870631874084473,-999.0,-999.0,-999.0,0,none
8,00:03:35.28,-00:51:11.5,22.7775,21.6727,20.164904,19.68032,19.444046,18.82614,18.495144,18.555216,3.0971792,1.9923799,0.8541812,2.846561,4.977339580535889,4.570402313232422,-999.0,-999.0,-999.0,0,none
235,23:55:36.85,-00:16:00.1,22.1121,21.2792,19.77395,19.534441,19.194342,18.671068,18.602219,18.268713,2.5776594,1.7447584,0.8633727,2.608131,4.342757904052735,4.107011283874512,-999.0,-999.0,-999.0,0,none
148,22:44:42.43,+00:13:55.8,23.5527,21.8584,20.271105,19.961582,19.353455,18.726618,17.940624,18.015509,3.5911176,1.8968179,1.2349643,3.131782,8.357246726989747,5.901508266448975,-999.0,-999.0,999.0,NIRES092218,?
69,01:56:54.09,-00:16:59.1,23.359,22.0483,20.454084,19.548601,19.595116,18.845137,17.718231,17.39633,3.8103979,2.4996984,0.7034644,3.2031627,3.6600856361389162,3.544041687011719,-999.0,-999.0,-999.0,0,none
103,22:06:27.64,+00:33:32.0,22.9048,21.2536,19.848154,19.728151,18.947517,18.629257,18.134697,18.218039,3.1766489,1.5254476,1.098894,2.6243415,6.598817687988282,6.079233478546143,-999.0,-999.0,999.0,NIRES080218,??
157,22:50:48.71,-00:28:18.2,22.6612,21.377,20.214006,19.73506,19.173824,18.711393,19.144758,18.869888,2.9261396,1.6419408,1.0236663,2.665607,7.723188102722168,4.791512912750244,-999.0,-999.0,999.0,NIRES092218,?
111,22:14:33.20,-00:33:55.9,23.0674,21.4581,20.22961,19.703657,19.036207,18.550323,18.480854,18.491678,3.3637426,1.754442,1.1533335,2.9077754,6.247288455963135,6.358104904174805,-999.0,-999.0,-999.0,Gemini,??
113,22:15:46.88,-01:01:21.2,23.2509,21.4481,20.435453,19.943037,19.421736,18.72312,18.765358,18.647976,3.307863,1.5050619,1.2199172,2.724979,6.715906608581543,6.170709835052491,-999.0,-999.0,-999.0,0,none
193,23:27:08.60,-00:24:57.4,23.2947,21.5335,20.311543,19.628942,19.231495,18.893177,19.144272,19.218428,3.665758,1.904558,0.73576534,2.6403232,5.678307346343995,6.193447689056397,-999.0,-999.0,-999.0,0,none
231,23:54:13.88,-00:59:47.8,23.747,21.9869,20.246544,20.294317,19.348541,18.862354,18.756699,18.797974,3.4526823,1.6925828,1.4319628,3.1245456,3.5307123527526856,6.250163166046143,-999.0,-999.0,-999.0,Gemini,none
174,23:07:10.93,+00:49:22.5,23.7588,21.8108,20.76689,20.15876,19.232252,18.586742,18.616959,18.658789,3.6000402,1.6520402,1.5720176,3.2240577,6.445660446166992,7.014902137756348,-999.0,-999.0,-999.0,Gemini18B,??
218,23:45:42.89,-00:18:06.5,23.4904,21.5446,20.062492,20.01014,19.396074,18.768414,18.729773,18.819674,3.4802606,1.5344598,1.2417258,2.7761855,4.069375316619873,5.35003902053833,-999.0,-999.0,-999.0,0,none
158,22:51:06.19,-00:35:09.2,23.2218,21.4543,20.036585,19.675415,18.941433,18.644983,18.759281,18.759615,3.5463846,1.7788846,1.0304316,2.8093162,9.889862983703614,4.810331085205078,-999.0,-999.0,-999.0,NIRES092218,none
96,02:18:22.69,+00:25:38.8,22.0105,21.4954,19.492805,19.616907,18.94535,18.607805,19.080065,19.137821,2.3935926,1.8784921,1.0091017,2.8875937,6.565101402282715,5.879554801940918,-999.0,-999.0,999.0,NIRES092218,?
3,00:00:16.67,+00:05:22.5,23.3576,21.6781,20.202389,19.708937,19.207716,18.771132,18.017138,17.556839,3.6486623,1.9691637,0.93780506,2.9069686,5.721170059204102,6.595680885314942,-999.0,-999.0,999.0,NIRES080218,?
82,02:03:36.57,+00:41:51.7,22.9165,21.3897,20.034975,19.685446,18.994858,18.74491,19.061583,19.056417,3.231054,1.7042539,0.9405364,2.6447902,4.135237976074219,4.223577907562256,-999.0,-999.0,-999.0,NIRES092218,none
209,23:38:19.14,+00:25:37.5,22.7039,21.4185,19.931269,19.545547,18.851267,18.476404,18.622126,18.66442,3.1583517,1.8729532,1.0691432,2.9420962,3.9538544197082524,4.991453304290772,-999.0,-999.0,-999.0,Gemini18B,none
92,02:13:45.44,+00:24:36.4,23.3875,23.2332,20.801619,19.695654,19.080349,18.355148,17.307598,16.699816,3.6918466,3.537546,1.3405055,4.8780513,4.189339702606201,4.37777974319458,1.36,1.09,-999.0,0,none
77,01:59:33.91,+00:22:30.6,23.6137,21.6956,20.33918,19.909418,19.26813,18.669964,18.890892,18.727045,3.7042825,1.7861822,1.2394542,3.0256362,5.56174072265625,4.871489295959472,-999.0,-999.0,999.0,NIRES092318,?
162,22:55:30.02,-00:39:06.6,22.9867,21.2927,20.21586,19.713392,19.079727,18.670637,18.865507,18.671917,3.2733076,1.5793073,1.042755,2.6220622,4.8456142616271975,5.196098522186279,-999.0,-999.0,999.0,NIRES091818,?
22,00:19:53.94,+00:32:02.7,23.6121,21.4346,19.590584,19.424898,19.037031,18.715292,18.622532,18.253471,4.187202,2.0097024,0.70960605,2.7193084,3.2413866806030276,3.0610484733581544,-999.0,-999.0,-999.0,0,none
217,23:44:18.71,-00:36:09.6,23.5552,22.2729,20.406754,20.008617,19.367893,18.816364,18.055857,18.073925,3.546583,2.264282,1.192253,3.4565349,4.292315654754639,4.104658870697022,-999.0,-999.0,-999.0,0,none
93,02:16:26.11,-00:13:01.0,22.4859,21.6544,20.061005,19.642962,19.081964,18.694187,18.135307,17.726,2.8429391,2.0114381,0.9487742,2.9602122,3.996455795288086,3.263863952636719,-999.0,-999.0,999.0,NIRES092318,?
183,23:22:10.18,-00:14:50.2,22.9699,21.3655,19.980951,19.660084,19.005323,18.333895,18.217361,18.272192,3.3098161,1.7054155,1.3261889,3.0316043,5.195053173065186,4.885602264404297,-999.0,-999.0,-999.0,0,none
7,00:02:16.11,+00:37:17.9,22.115,22.3845,19.702408,19.731567,19.13925,18.790096,18.9538,18.83985,2.3834321,2.652933,0.941471,3.5944037,9.14132805633545,6.2263795852661135,-999.0,-999.0,-999.0,0,none
27,00:22:24.45,+00:52:00.9,23.1784,21.6555,20.419792,19.605831,19.046354,18.59778,19.033134,18.982973,3.5725687,2.049669,1.0080508,3.0577197,4.010569519042969,4.325769470214844,-999.0,-999.0,-999.0,0,none
147,22:44:30.21,+00:32:31.2,23.3099,21.7897,19.885225,19.615976,18.814022,18.8566,17.827799,17.109653,3.6939237,2.173723,0.7593764,2.9330993,2.966174732208252,2.987867614746094,-999.0,-999.0,-999.0,0,none
86,02:05:25.48,+01:02:07.6,22.4725,21.5082,20.364761,19.950455,19.284063,18.821999,17.087954,16.438395,2.522045,1.5577447,1.128456,2.6862006,5.7159433135986335,5.751226867675782,95.87,68.43,-999.0,0,none
58,01:50:04.17,-00:48:54.6,22.9078,21.7119,19.856508,19.672216,19.347776,18.832945,18.857979,18.336483,3.235584,2.039684,0.8392714,2.8789554,3.7753451957702637,3.008776485443115,-999.0,-999.0,-999.0,0,none
21,00:19:49.63,+00:41:16.5,21.9286,21.0621,19.90907,19.548784,18.946547,18.11601,16.779903,16.25257,2.3798158,1.513315,1.4327735,2.9460883,6.330138793945313,7.30605754852295,-999.0,-999.0,-999.0,0,none
